show_version	打印服务器编译版本号
see	查看用户，参数：角色UID
see_local	查看用户本地缓存，参数：角色UID
see_account	查看账号信息, 参数：角色UID或账号名
bind_account	绑定新的账号信息，参数：账号名  角色UID
unbind_account	UID与某个账号解除绑定，参数：账号名  角色UID
set_account_param	设置账号额外信息，参数：账号名字 参数名 参数值
delete_role	删除角色，包括账号和社交数据，参数：角色Id
delete_account_test	删除账号，包括账号下所有数据，参数：账号名
release_role	释放角色，参数：角色Id
delete_cache_role	删除角色，只删除Game上数据，只内网用，参数：角色Id
repair_cache_role_use_db	读取数据库中角色数据修复共享内存数据，参数：角色Id
test_drop	测试N次掉落，参数：角色UID 掉落id 次数
test_game_drop	测试N次掉落，参数：角色UID 掉落id 次数
unreg_account_apply_result	设置注销审核结果，参数：账号Id 结果[0: 未通过, 1: 通过, 2: 60秒后重新审核]
show_shm_stat	显示共享内存统计信息
del_misc_shm_by_key	根据key删除对应的misc共享内存, 危险, 参数: key
dump_role_http	php页面导出角色，参数：角色UID
load_role_http	php页面导入角色，参数：角色UID 数据
start_cpu_profile	开始CPU性能分析，参数：
stop_cpu_profile	终止CPU性能分析，参数：
flush_cpu_profile	输出CPU性能分析，参数：
start_heap_profile	开始内存性能分析，参数：
stop_heap_profile	终止内存性能分析，参数：
dump_heap_profile	输出内存性能分析，参数：
compress_all_blob	压缩所有Blob，危险，参数： 压缩类型(lz4|zlib|zstd) 压缩阈值
test_fast_local_time	测试快速获取时间接口，危险，参数： 开始时间%Y-%m-%d %H:%M:%S 测试天数
test_get_my_activity_diff	测试获取有效活动，危险，参数：玩家Id 
test_load_role	测试加载玩家，危险，参数：文件名 玩家数 
test_str_bit	测试字符串按位功能，参数：初始字符串
see_rank_cnt	显示全服的段位分布
dump_mail_http	php页面导出邮件，参数：角色UID
load_mail_http	php页面导入邮件，参数：角色UID 数据
set_server_time	设置服务器时间，参数:%Y-%m-%d %H:%M:%S
get_server_time	获取服务器时间
reset_server_time	恢复服务器时间
lock_server_time	锁定服务器时间 参数:锁定时间(秒)
unlock_server_time	解锁服务器时间
set_rank_server_time	设置排行榜服务器时间，参数:%Y-%m-%d %H:%M:%S
reset_rank_server_time	恢复排行榜服务器时间
add_server_day	添加服务器时间偏移天数，参数：天数
add_server_hour	添加服务器时间偏移小时，参数：小时数
add_server_min	添加服务器时间偏移分钟，参数：分钟数
see_misc_mailqueue	查看邮件misc数据
see_misc_delaymail	查看延迟发送邮件数据
see_misc_act	查看misc活动数据
see_misc_act_cfg	查看misc活动配置缓存数据
clear_misc_act_cfg	清空misc活动配置缓存数据
clear_misc_act	清空misc活动数据
clear_misc_data	清空misc所有数据
reload_luacode	重新加载lua热修配置
reload_activity	重新加载活动配置
get_seasonisopen	查看排位赛状态，1打开，0关闭
set_seasonisopen	设置排位赛状态，参数：1打开，0关闭
set_matchstatus	设置匹配状态，参数： 是否打开全球化 默认matchid
get_matchstatus	获取匹配状态
set_matchandbattle	设置匹配服与battle组，参数： matchid,battle_group_id
see_matchandbattle	查看匹配服与battle组，参数： 
force_start_battle	强拉开启战斗，内网，阿里云和59用, 参数：角色UID 是否增加机器人0否1是
set_iostime	设置ios匹配时间，参数： 秒数
get_iostime	获取ios匹配时间
set_nationtime	设置国家匹配时间，参数： 秒数
get_nationtime	获取国家匹配时间
set_nationmatchnum	设置擂台赛人数，参数： 人数
get_nationmatchnum	获取擂台赛人数
check_mini_clear	检查小号删除(最高15级，最短1个月) time(%Y-%m-%d %H:%M:%S) level bind_check(1检查) 执行间隔秒
create_mini_clear	创建清小号操作(最高15级，最短1个月) time(%Y-%m-%d %H:%M:%S) level bind_check(1检查) 执行间隔秒
see_mini_clear	查看当前清小号数据
see_mini_clear_data	查看全量清小号数据
start_mini_clear	清小号-开始或恢复执行
pause_mini_clear	清小号-暂停执行
stop_mini_clear	清小号-停止执行
reset_mini_clear	清小号-重置所有数据
get_role_clear_info	清小号-查询玩家是否被清小号，参数: uid
set_maxmatchnum	设置队列最大匹配人数，参数： 人数
get_maxmatchnum	获取队列最大匹配人数
reload_mail	重新加载邮件 MailServiceObj
see_misc_data	查看misc数据
test_load_video	测试录像数据
add_exp	增加经验，参数：角色UID 数值
sub_exp	减少经验，参数：角色UID 数值
set_exp	设置经验，参数：角色UID 数值
add_level	增加等级，参数：角色UID 数值
sub_level	减少等级，参数：角色UID 数值
set_level	设置等级，参数：角色UID 数值
add_coin	增加金币，参数：角色UID 数值
sub_coin	减少金币，参数：角色UID 数值
set_coin	设置金币，参数：角色UID 数值
add_diamond	增加钻石，参数：角色UID 数值
sub_diamond	减少钻石，参数：角色UID 数值
set_diamond	设置钻石，参数：角色UID 数值
force_sub_diamond	强制减少钻石(可以减到负数)，参数：角色UID 数值 [nomail|邮件模板ID]
force_set_diamond	强制设置钻石(可以设为负数)，参数：角色UID 数值 [nomail|邮件模板ID]
force_sub_coin	强制减少金币(可以减到负数)，参数：角色UID 数值 [nomail|邮件模板ID]
force_set_coin	强制设置金币(可以设为负数)，参数：角色UID 数值 [nomail|邮件模板ID]
add_faceid	添加头像，参数：角色UID 头像ID
set_faceid	设置头像，参数：角色UID 头像ID
add_faceborder	添加头像框，参数：角色UID 头像框ID
set_faceborder	设置头像框，参数：角色UID 头像框ID
add_nameborder	添加昵称框，参数：角色UID 昵称框ID
set_nameborder	设置昵称框，参数：角色UID 昵称框ID
set_nationality	设置国籍，参数：角色UID 国籍ID
get_uid	根据角色名查找uid，参数：角色名
get_uid_byname	根据完整角色名查找uid，参数：角色名
get_uid_byname_base64	根据完整角色名查找uid(名字base64处理，避免名字中特殊符号，如空格#等)，参数：角色名(base64)
set_elo	设置ELO，参数：角色UID 模式 数值
set_conwin	设置连胜连败场次: 角色UID 模式 连胜/连败 正数是连胜,负数是连败 3表示连胜3场 -3 表示连败3场,场次不能是0
see_today_logintime	查看今日登录时间，参数：角色UID
set_pvpnum	设置战斗数量，参数：角色UID 数值
